text	label
It is essentially a resume , but targeted to the PEO , following the guidelines which they send you .	send_resume
[PERSON] , I sent myself a fax from the fax machine in the break area and it arrived about 10 minutes later in my inbox .	send_fax
Can I ask someone to send me a typical sales presentation , just so I can feel conversant with your positioning and pitch .	send_presentation
Please review this document by Tuesday and send your edits / feedback to me .	send_review
Hi [PERSON] , Here are the login instructions for our REHEARSAL session on 05/07/02 @ 3:00pm PT , please forward to the presenters . URL : http://www.placeware.com/cc/esdevents enter your full name Meeting ID : placeware Meeting Key : mademo Audio : 1 - 800 - 251 - 6413 PIN : 360820 Please send me a copy of your draft slide and I will upload them into the console before the rehearsal .	send_presentation
[PERSON] , Nothing has changed since the last time I sent these to you .	send_update_changes
btw , you never sent me those digital pics you took the last time I visited .	send_pictures
Send us an email at feedback@anyday.com .	send_review
Here I am sending my resume as attachment as per your suggestion .	send_resume
November 9 , 2000 GOLFLOGIX - BUSINESS UPDATES We will be sending you these periodic updates to keep you informed on GolfLogix activities .	send_update_changes
I 've sent the presentation and bio ; the only thing missing is the checklist ( a / v and lunch ) simply because I never received one .	send_presentation
If you have any last minute changes as to what is currently in use , please send the change to me .	send_update_changes
Please look it over and send me any questions or comments !	send_review
You can view the photo immediately on your computer , send it as e - mail or print it out on a Kodak Personal Picture Maker printer .	send_pictures
[PERSON] [PERSON] [PERSON] Could you please send me the most representative presentations on the enterprise strategy ?	send_presentation
This quarter 's news goes to [PERSON] at : pete@stanfordalumni.org Please send any photos ( with a caption and indication of whether you would like the photo returned ) directly to : [PERSON] [PERSON] Stanford Graduate School of Business News and Publication Department Stanford , [LOCATION] 94305 - 5015 Phone : 650 - 725 - 3241 Thanks , [PERSON] and [PERSON] ... _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ Get Your Private , Free E - mail from MSN Hotmail at http://www.hotmail.com	send_pictures
I am pleased to send my resume , if your interest meets .	send_resume
Please review and send your comments .	send_review
Thanks and I 'll send more feedback tonight .	send_review
Now you can send faxes , email , and link directly to your inbox to receive all your messages . PC - to - Phone software version 3.1 lets you customize with a variety of styles .	send_fax
[PERSON] , please send the presentation .	send_presentation
Please modify your presentation for alignment and send the two presentations together or get [PERSON] to do it .	send_presentation
[PERSON] , I believe I put this in my outbox and asked you to send it to Saroya for a quick review .	send_review
I will send out another update shortly .	send_update_changes
I have asked [PERSON] to modify the AST and then have [PERSON] and [PERSON] review it before sending it to Accenture .	send_review
Users with camera - equipped handsets take pictures of themselves , their surroundings , families , pets ( and considering the proliferation of dating services in [LOCATION] , they are probably also taking pictures that we really do nt want to know about ) and sending them to other mobile users on J - phone s 2.5 G network .	send_pictures
Cam indicated to send presentation directly to [PERSON] and copy cam in	send_presentation
If you know someone , please send their resume to [PERSON] [PERSON] , Technical Recruiting Manager .	send_resume
Please send me feedback as soon as you can .	send_review
Please do not send EMAIL for changes - This may > delay service !	send_update_changes
class=101525918 - 05122002 > p.s.&nbsp ; [PERSON] and [PERSON] , can you please send me any pics you have of JC , [PERSON] , Me or Michael.&nbsp ; I 'll do the same for you guys.</SPAN></FONT></P></BODY></HTML > ------_=_NextPart_001_01C29C91.9E5692E0 - -	send_pictures
Yes , there were 18 this morning - I sent the resume ones to Germana , and took the rest myself .	send_resume
I could n't decide which ones to send , so I sent them all ... : - ) ( I never just take one picture ...	send_pictures
If you want to send us the completed project for review , we can do that ? Thanks , Support	send_review
it safe you have done a good job Send some more pictures How is your work going regards to your faher Amma & appa Sweet kisses to adhithi	send_pictures
