text	label
Here is what [PERSON] has sent to me as a synopsis of what his presentation would sound like .	send_presentation_request
Please send me any changes , additions , or deletions to the minutes and/or action items as required .	send_update_changes_request
I sent out a meeting request earlier .	send_meeting_request_provide
Please send me pictures via email .	send_pictures_request
If he passes all phone interviews then I 'll send you his resume too .	send_resume_provide
In this case I 'll send you the updated images .	send_pictures_provide
I 'll send you slides by end of day .	send_presentation_provide
So you can remember what I look like I sent you a recent picture of myself .	send_pictures_provide
I 'm taking my camera , I 'll send you a picture or two .	send_pictures_provide
Hi [PERSON] , I am sending you a resume of [PERSON] [PERSON] .	send_resume_provide
Hi [PERSON] : I 'm trying to test my efax , so I sent a fax to my phone number 562 - 7944 , but it has n't shown up in my email .	send_fax_provide
Hey buddy , Just a reminder to send Boeing and AAI the technical powerpoint .	send_presentation_provide
and i will check [PERSON] 's schedule , book date and time and send out meeting invite .	send_meeting_request_provide
I did n't get a chance to send my pic so I figured > you > prolly would n't have met up .	send_pictures_provide
Hi [PERSON] , Not sure if you check e - mail from home , but I thought I would send you my resume for reference .	send_resume_provide
-Giselle left without sending me the required 75 word abstract for Venk 's presentation .	send_presentation_request
I want to send them a fax describing new status .	send_fax_provide
Yer sent me the meeting notice for 10:00 .	send_meeting_request_request
Hi [PERSON] , I asked regarding sending you the roadmap slide .	send_presentation_provide
[PERSON] , Can you send me the calendar entry for the Tuesday 9AM PS Management meeting ?	send_meeting_request_request
I send you this picture with all of my heart !	send_pictures_provide
Could you send us your presentation , as we will present your company in our investment meeting on monday .	send_presentation_request
Do you want me to send you my resume ?	send_resume_request
Please send me the revised presentation , via e - mail , with poll questions , by 9:00 am Wednesday morning .	send_presentation_request
Please send your resumes to [PERSON] at the earliest .	send_resume_request
[PERSON] [PERSON] [PERSON] [PERSON] > > > > I just sent you a fax .	send_fax_provide
but I can send you the presentation and our positioning statement .	send_presentation_provide
[PERSON] could you please resend the powerpoint presentation .	send_presentation_request
The number list on the contact was for a fax , so I sent a fax .	send_fax_provide
I can send you the presentation that you 've seen in print , in order to send the technical presentation as well , I would like to ask if you can review and signed this NDA .	send_presentation_provide
:O ) I was planning on sending some pictures along with this email , but my connection w/ the other computers has been interrupted , so I 'll have to send some later .	send_pictures_provide
I will be sending an update on that later .	send_update_changes_provide
I 'll send more pictures later ... > > Take care , > >	send_pictures_provide
i was actually going to send you pictures of buttcracks while you were still at UUNET ...	send_pictures_provide
[PERSON] , Let me add my slides and send the whole thing back to you .	send_presentation_request
