text	label
[PERSON] , Can you send me the SFS meeting notice for performance ? [PERSON]	send_meeting_request_request
Now you can send faxes , email , and link directly to your inbox to receive all your messages . PC - to - Phone software version 3.1 lets you customize with a variety of styles .	send_fax_request
Just a reminder to send your slides to the appropriately names mailbox SLIDES@dci.com on ( or , of course , before ) Monday August 7th .	send_presentation_request
[PERSON] , Could you please send the HP seminar presentation slides to [PERSON] [PERSON] at HP for Georgia Pacific .	send_presentation_request
Send us any suggestions in your feedback .	send_review_request
People sending faxes to your new number will not incur any long distance charges ( when calling from [LOCATION] [LOCATION] [LOCATION] ) .	send_fax_request
Yer sent me the meeting notice for 10:00 .	send_meeting_request_request
Here are the areas in which we need people ( eCommerce or Web - based software experience is preferred , but not required ): - Marketing ( VP , Managers , Associates ) - Sales ( VP , Senior , Inside ) - Account Management ( VP , Director , Senior ) - Business Development ( Director , Managers ) - Finance ( Controller ) - HR ( Director , [PERSON] ) Please send resumes to : ------------------ [PERSON] [PERSON] CSP , CoreMetrics 415.543.3160 at@coremetrics.com	send_resume_request
Manage your accounts , filter messages , and even send faxes via email .	send_fax_request
Keep sending us your comments .	send_review_request
Please send me your presentations if you have n't already .	send_presentation_request
But pls keep sending me the meeting summaries .	send_meeting_request_request
If you have any last minute changes as to what is currently in use , please send the change to me .	send_update_changes_request
Here is what [PERSON] has sent to me as a synopsis of what his presentation would sound like .	send_presentation_request
* * As you may have noticed , we will send all interview schedules and resumes via email instead of dropping them off at your desk like before .	send_resume_request
If you have any friends who are from similar background and would be interested in this requirement please do ask them to send their cvs to me .	send_resume_request
[PERSON] said you will fax me the document first and then you will send me the documents ?	send_fax_request
Your customers will appreciate your business when you give them an inexpensive way to send you a fax .	send_fax_request
Can you send me the slide .	send_presentation_request
Please send me PPT slide with autorun by Friday evening your time .	send_presentation_request
And please send pictures .	send_pictures_request
[PERSON] , Can you send me minutes from yesterday 's SP8 meeting ?	send_meeting_request_request
[PERSON] , Did you send out updates to dashboards ? Tnx , matt AvocadoIT , Your Business Everywhere !	send_update_changes_request
Must be all those jpg 's [PERSON] sends me of himself ... [PERSON]	send_pictures_request
Staff , Who ever has NOT sent me their presentations yet , get moving , Venk would like to review them this evening .	send_presentation_request
Please feel free to send me any corrections or if you disagree .	send_review_request
Appreciate if you could take the help of [PERSON] and send me a fax to 011 91 40 3357871 .	send_fax_request
Please send me the revised presentation , via e - mail , with poll questions , by 9:00 am Wednesday morning .	send_presentation_request
[PERSON] , > > Please send the latest FS incorporating all comments .	send_review_request
Send us that photo -- or better yet , e - mail it -- and we 'll select the best ones to be shared with our members in our upcoming Home deliveries .	send_pictures_request
Send me an update .	send_update_changes_request
it safe you have done a good job Send some more pictures How is your work going regards to your faher Amma & appa Sweet kisses to adhithi	send_pictures_request
Please send me the meeting detail .	send_meeting_request_request
[PERSON] , Could you please send me the powerpoint you used at the HP seminar in [LOCATION] . Thanks .	send_presentation_request
[PERSON] , Can you send me the calendar entry for the Tuesday 9AM PS Management meeting ?	send_meeting_request_request
You gon na send me your resume ?	send_resume_request
[PERSON] will be sending to us another version with our comments and other additional changes / information on Sunday by 5 pm our time .	send_update_changes_request
Could you send us your presentation , as we will present your company in our investment meeting on monday .	send_presentation_request
[PERSON] , Please send your resume to both prasad and me ( just reply to all ) .	send_resume_request
If you know someone , please send their resume to [PERSON] [PERSON] , Technical Recruiting Manager .	send_resume_request
You were going to send me a presentation next week .	send_presentation_request
No phone calls please ; send resume to : [PERSON] [PERSON] [PERSON] , [PERSON] [PERSON] [PERSON] , Global Practice Leader TMP Worldwide Executive Search 650 .	send_resume_request
Please send me any changes , additions , or deletions to the minutes and/or action items as required .	send_update_changes_request
"When you 're ready to send a fax , simply drag and drop these thumbnails to your j2 Fax icon on the [LOCATION] "" Links Bar "" , and you 're done !"	send_fax_request
Any way that you guys can put together a powerpoint template for us ? Also send us gifs or whatever of the graphics / photos so that we can utilize them in our presentations ?	send_presentation_request
Let me know if you still want me to send a reply or if this was for presentation purposes only .	send_presentation_request
"Be sure to use the "" fine "" resolution setting on your fax machine when sending your documents for better image quality ."	send_fax_request
Send me all the nice naked(female ) pictures ...	send_pictures_request
Please send fax to me and send original to [PERSON] [PERSON] .	send_fax_request
Send me mail with updates today . Thanks .	send_update_changes_request
Can you do me a favor and send me the PPT slide you used yesterday ?	send_presentation_request
Send me a note if you want to change the primary / secondary reviewers .	send_review_request
This quarter 's news goes to [PERSON] at : pete@stanfordalumni.org Please send any photos ( with a caption and indication of whether you would like the photo returned ) directly to : [PERSON] [PERSON] Stanford Graduate School of Business News and Publication Department Stanford , [LOCATION] 94305 - 5015 Phone : 650 - 725 - 3241 Thanks , [PERSON] and [PERSON] ... _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ Get Your Private , Free E - mail from MSN Hotmail at http://www.hotmail.com	send_pictures_request
It will take little bit time ( may be a week or 10 days ) for me to send you the resume , If that 's OK with you .	send_resume_request
Is he sending slides to me ? Best , [PERSON] [PERSON] ( 212 ) 272 - 3190	send_presentation_request
Stuart ; Could you please send me your resume so we can write a bio for your review for the website .	send_resume_request
-Giselle left without sending me the required 75 word abstract for Venk 's presentation .	send_presentation_request
Please send your resumes to [PERSON] at the earliest .	send_resume_request
BTW , please send me your bio and resume , the meeting with [PERSON] is set on 12 noon on May 21 .	send_meeting_request_request
[PERSON] could you please resend the powerpoint presentation .	send_presentation_request
Can you please send me the resumes ? Thanks , [LOCATION] .	send_resume_request
Feel free to send me any feedback / suggestions that will help make this document more useful for all .	send_review_request
Here 's how to send your pictures :	send_pictures_request
Please send me pictures via email .	send_pictures_request
It would be great if you could send me the slides from today 's presentation .	send_presentation_request
keep sending us your feedbacks .	send_review_request
[PERSON] has been sent a press kit and a copy of your presentation .	send_presentation_request
[PERSON] She thought she had sent us the update ..	send_update_changes_request
< < AMR Presentation Draft.ppt > > Send updates to me ( unless someone else wants to take over from here ) .	send_presentation_request
Please review and send > > your comments today .	send_review_request
If you change anything please send updates to [PERSON] [PERSON] and [PERSON] [PERSON] .	send_update_changes_request
"[PERSON] - can you send me the beautiful "" Last Mile "" slide you created for the Strategy team ? Thanks !"	send_presentation_request
Justin , No problem , Just send me your resume .	send_resume_request
If we need to proceed , please have them send us the new image .	send_pictures_request
Also let me know when you anticipate sending his presentation to me .	send_presentation_request
[PERSON] , Could you please send a note to pubs , and R&D explaining the change .	send_update_changes_request
Can you please send this resume to your HR ? < < resume.doc > > Thanks Jyothsna [LOCATION]	send_resume_request
Per your request , we are sending you an invoice via e - mail to : fax to : postal to : Billing Contact Sincerely , [PERSON] [PERSON] [PERSON] [PERSON] [PERSON] , a VeriSign company http://www.networksolutions.com > > name : [PERSON] [PERSON] [PERSON] > comment :	send_fax_request
If you are unable to access the presentation via the web link or previously sent .pdf attachment , please contact client services at inquiry@metagroup.com or ( 203 ) 973 - 6700 for assistance . Regards , [PERSON] [PERSON] META Group Client Services Manager ( 203 ) 973 - 6812 jackie.coralian@metagroup.com www.metagroup.com	send_presentation_request
Could you please send us the following 3 items : The business / alliance & technical PowerPoint presentations from today 's meeting .	send_presentation_request
Ok we will manage without you , please send any PP slides you feel may help Thanks [PERSON]	send_presentation_request
Maybe it makes sense to send high - level or general feedback directly to me , rather than the writers .	send_review_request
To expedite us sending you a hardcopy of the presentation , we request that you sign and return an NDA ( via fax ) .	send_presentation_request
"What do you think about sending the "" belly photo "" to your dad and [PERSON] ..."	send_pictures_request
[PERSON] , Let me add my slides and send the whole thing back to you .	send_presentation_request
AT A MINIMUM , please send the presentation from last week ASAP , or preferably , your revised presentation to me before noon CST on Wednesday .	send_presentation_request
This quarter 's news goes to me at : pete@stanfordalumni.org Please send any photos ( with a caption and indication of whether you would like the photo returned ) directly to : [PERSON] [PERSON] Stanford Graduate School of Business News and Publication Department Stanford , [LOCATION] 94305 - 5015 E - mail : gsperry@leland.stanford.edu Phone : 650 - 725 - 3241 Thanks , [PERSON] and [PERSON] ... _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ [PERSON] [PERSON] Partner Austin Ventures 701 Brazos Street Suite 1400 [LOCATION] , [LOCATION] 78701 Phone : ( 512 ) 485 - 1971 Fax : ( 512 )	send_pictures_request
You can send faxes from your computer .	send_fax_request
You need to send me some pictures .	send_pictures_request
Have a great honeymoon and please send us photos .	send_pictures_request
[PERSON] , [PERSON] , Could you send me the presentations ( status updates ? )	send_presentation_request
Send us an email to receive a free review pack and further details on the report , MIdirectory@mobile-metrix.com .	send_review_request
Can you please send me the meeting minder again in hopes that it might appear on my calendar ?	send_meeting_request_request
[PERSON] , Send me your resume and lets chat .	send_resume_request
You could either send me a fax or an email with a file or screen shots .	send_fax_request
It will help me if you can review the document and send me your comments / suggestions .	send_review_request
Please incorporate this matrix into your presentation and send the finalized presentation to me .	send_presentation_request
We are constantly trying to improve Unimobile for you , so please feel free to send us your recommendations , suggestions or complaints anytime at feedback@unimobile.com .	send_review_request
Please let me know today when you will be able to send me your presentation and biographical details via email or overnight service for inclusion in the documentation pack for the delegates .	send_presentation_request
Will send updated slides by tomorrow morning your time .	send_presentation_request
Can you send me his resume ? Thanks !	send_resume_request
Aim p.s . Steph and [PERSON] , can you please send me any pics you have of JC , [PERSON] , Me or [PERSON] .	send_pictures_request
Send me your questions & comments [PERSON] [PERSON] [PERSON]	send_review_request
And no more waiting on your fax to go through  eFax does all the work and sends you a receipt for each message successfully sent .	send_fax_request
Send me your resume .	send_resume_request
The fax number is ( 650)233 - 4545 to send signatures back to me .	send_fax_request
[PERSON] , please follow up with [PERSON] to send a photo and any other information they need .	send_pictures_request
Send [PERSON] and myself your feedback please .	send_review_request
When you send a fax , Fax Sr . queues the fax for processing and creates a new folder in your mailbox named FaxStatus .	send_fax_request
It would be nice if you could pl provide us with your current requirments so that we can send you appropriate resumes matching those requirements .	send_resume_request
SendFax Form The SendFax Form is a customized Outlook form that enables you to send faxes from your mail client .	send_fax_request
Once confirmed please send the agrement by fax to 011 91 40 3357871 .	send_fax_request
Plus number to your business associates so they can send faxes directly to your email inbox ?	send_fax_request
Here is a resume of a candidate that [PERSON] at ESP sent for your position .	send_resume_request
Pls send in your presentations to be included in the audience packet .	send_presentation_request
Send me your feedback . thanks , [PERSON]	send_review_request
Please send all your feedbacks to [PERSON] .	send_review_request
[PERSON] [PERSON] [PERSON] Could you please send me the most representative presentations on the enterprise strategy ?	send_presentation_request
Whitney , That looks great - would you please send us the HDML code used to display the images along with the images themselves .	send_pictures_request
