text	label
I 'll send more recent pictures later this week .	send_pictures
[PERSON] , Can you send the entire slide bundle .	send_presentation
I hope to send you more resumes today .	send_resume
I am sending you the updated slides for the offsite meeting .	send_presentation
Scott , do n't know whether you already sent the prior powerpoint slides to [PERSON] .	send_presentation
I sent this resume over to [PERSON] late last week but have not heard anything from him .	send_resume
Young business types on cell phones , sending faxes and using email .	send_fax
Hey buddy , Just a reminder to send Boeing and AAI the technical powerpoint .	send_presentation
Please send your updated presentation to me directly by end of day Monday at the latest .	send_presentation
send me your resume Om	send_resume
They have told us to hold off on sending additional resumes , but that could change .	send_resume
[PERSON] [PERSON] [PERSON] Per your request , I am sending you the updated powerpoint presentation .	send_presentation
[PERSON] , For some reason , I could n't send the presentation to you via email , so I dropped it in the ostaff folder ( commsmtgjpn10_9 ) .	send_presentation
I 'm sending out a meeting request for 9 - 10 tomorrow morning .	send_meeting_request
[PERSON] , Thanks for the message , and I apologize for the fact that I have n't sent you any presentation materials as I had originally promised .	send_presentation
I will send a pdf and can fax a version if you like .	send_fax
FYI , [PERSON] is sending me a few times / dates for a meeting next week .	send_meeting_request
Cam indicated to send presentation directly to [PERSON] and copy cam in	send_presentation
Will send you updates as they occur .	send_update_changes
Also can you fax me a hard copy printout or send a pdf so I can see how the line breaks should go .	send_fax
If we need to proceed , please have them send us the new image .	send_pictures
I usually just send out the Take One and that s it - ya know , hold back information to get the meetings ....	send_meeting_request
Instead , I will be sending you and [PERSON] a resume on a consultant from Emerald Solutions who has experience with ChangePoint .	send_resume
I will send you confirmation tomorrow after he has responded to the meeting request .	send_meeting_request
I sent the presentation .	send_presentation
I am sending you my comments . 1 .	send_review
Hi All , Can someone send out the feedback forms ? Thanks , [PERSON]	send_review
[PERSON] , Can you send me the calendar entry for the Tuesday 9AM PS Management meeting ?	send_meeting_request
I am going to send you the Powerpoint presentation in case we need it , otherwise the only thing I 'll need you to have available on the webex is the emulator and the demo web site .	send_presentation
Can you please send this resume to your HR ? < < resume.doc > > Thanks Jyothsna [LOCATION]	send_resume
And please send pictures .	send_pictures
I would hate to send free , hot pictures to people that do n't like them .	send_pictures
Send us that photo -- or better yet , e - mail it -- and we 'll select the best ones to be shared with our members in our upcoming Home deliveries .	send_pictures
Please send a fax to HSBC Bank , 1 Mansion House Street , [LOCATION] , [LOCATION] RG14 5ET .	send_fax
Last Board Meeting some of you were late with your presentations and I was not abe to send out the packet to each Board Member .	send_presentation
Once confirmed please send the agrement by fax to 011 91 40 3357871 .	send_fax
Send feedback directly to [PERSON] and save the spam . srik	send_review
Per your request , we are sending you an invoice via e - mail to : fax to : postal to : Billing Contact Sincerely , [PERSON] [PERSON] [PERSON] [PERSON] [PERSON] , a VeriSign company http://www.networksolutions.com > > name : [PERSON] [PERSON] [PERSON] > comment :	send_fax
Here is what [PERSON] has sent to me as a synopsis of what his presentation would sound like .	send_presentation
If you are insisting on sending the slides , to [PERSON] the PR team is very happy to support you .	send_presentation
i was actually going to send you pictures of buttcracks while you were still at UUNET ...	send_pictures
and I 'll send you the jpegs .	send_pictures
If you have any problems please let me know and we can find an alternate way of sending you the photo .	send_pictures
Send resumes to mcorbett@idealwave.com .	send_resume
Take care and please send photos when you can , it is always great to see Justi .	send_pictures
Send me your resume I will surely get back to you in a day or two with feedback .	send_resume
but I can send you the presentation and our positioning statement .	send_presentation
If you 'll send me you fax number , I will also fax upon receipt .	send_fax
For example , an insurance claims adjuster could visit a home damaged by a tornado and file the images on the spot by taking photos on a digital camera , connecting their camera to a Sprint PCS Internet - ready Phone , and sending the images to the insurance company 's Sprint PCS - hosted Web site .	send_pictures
[PERSON] , Could you please send a note to pubs , and R&D explaining the change .	send_update_changes
"What do you think about sending the "" belly photo "" to your dad and [PERSON] ..."	send_pictures
[PERSON] , Will you please send the latest install sent by [PERSON] to you to [PERSON] for UI review ? Om	send_review
Good morning [PERSON] , Send me your fax number and I 'll fax the form to you .	send_fax
For back up purposes , I am sending the presentation to you guys as well - just in case .	send_presentation
[PERSON] did not send a respository so I 'm not sure if there are any changes that affect us .	send_update_changes
You need to send me some pictures .	send_pictures
and i will check [PERSON] 's schedule , book date and time and send out meeting invite .	send_meeting_request
[PERSON] and [PERSON] , I 'll send you our PR presentation ( fully detailed with dates / budgets / tour ideas , etc . ) tomorrow morning .	send_presentation
[PERSON] [PERSON] [PERSON] [PERSON] > > > > I just sent you a fax .	send_fax
Please send the stuff to me today and i will add it to my presentation .	send_presentation
Send me a note if you want to change the primary / secondary reviewers .	send_review
You also mentioned a name there perhaps I will send a resume to them .	send_resume
Send me your resume .	send_resume
We have been trying to send our > applications by fax to [PERSON] [PERSON] school in [LOCATION] [LOCATION] .	send_fax
bottom line , i like being treated like a princess ! ; p would it help if i sent you a pic ?	send_pictures
Thanks and I will try and send you picture .	send_pictures
As soon as I have your response I will communicate with [PERSON] and arrange the meeting , including sending you an invitation to get the meeting on your calendar .	send_meeting_request
